priorityTier,priorityScore,priorityReasons,playerId,playerName,position,team,season,source,sourceLabel,nflDraftRound,nflDraftPick,nflDraftOverall,nflDraftTeam,college,collegeConference,collegeGames,collegePassingAttempts,collegeCompletions,collegePassingYards,collegePassingTouchdowns,collegeInterceptions,collegeRushingAttempts,collegeRushingYards,collegeRushingTouchdowns,collegeTargets,collegeReceptions,collegeReceivingYards,collegeReceivingTouchdowns,collegeSoloTackles,collegeAssistedTackles,collegeTotalTackles,collegeTacklesForLoss,collegeSacks,collegeInterceptionsDef,collegePassesDefended,collegeForcedFumbles,collegeFumbleRecoveries,landingSpotRole,opportunityNotes
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",f51932b4-fd98-4c6c-867e-3430fefd190c,Adam Randall,RB,BAL,2026,manual,rookie-enrichment,,,,BAL,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",814fee31-8a82-4cd5-aefe-348459d972da,Al-Jay Henderson,RB,,2026,manual,rookie-enrichment,,,,,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",0da51590-3c6a-4cf4-b513-fdfb77be179e,Anderson Castle,RB,IND,2026,manual,rookie-enrichment,,,,IND,Duke,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",0c6da4f8-b2bc-4c1d-b945-cb2781016595,Anthony Hankerson,RB,MIA,2026,manual,rookie-enrichment,,,,MIA,Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",ddf8e376-b621-4aa6-82f7-a3813733f87c,Cash Jones,RB,ATL,2026,manual,rookie-enrichment,,,,ATL,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",0012dbf3-0c0b-40f5-bf33-0888fc5d302f,CJ Donaldson,RB,NO,2026,manual,rookie-enrichment,,,,NO,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",95e594c1-c7c0-46ad-a390-cfae5d4f2c49,Coleman Bennett,RB,CHI,2026,manual,rookie-enrichment,,,,CHI,Kennesaw State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",5518e397-fcd0-484f-bf2d-9ccb13738f53,Damon Bankston,RB,NYG,2026,manual,rookie-enrichment,,,,NYG,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",5ba496a0-b826-4792-a51d-feadef67a6a2,Davon Booth,RB,CLE,2026,manual,rookie-enrichment,,,,CLE,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",cda08b04-8004-43ea-8626-8df7f060a2a7,DeaMonte Trayanum,RB,NYJ,2026,manual,rookie-enrichment,,,,NYJ,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",78e9a3cf-960e-4bed-a5ff-37f53722dd0a,Dean Connors,RB,LAR,2026,manual,rookie-enrichment,,,,LAR,Houston,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",eec9ae92-e768-46d7-a836-2d09d495697e,Demond Claiborne,RB,MIN,2026,manual,rookie-enrichment,,,,MIN,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",3e8f28e9-bb4c-4e26-8926-8399e8635ac3,Desmond Reid,RB,BUF,2026,manual,rookie-enrichment,,,,BUF,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",855df447-f661-48cb-8616-e8597bcc58fe,Dominic Richardson,RB,DAL,2026,manual,rookie-enrichment,,,,DAL,Tulsa,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",28295229-fe92-4021-acb3-6642131e2c69,Dontae McMillan,RB,BAL,2026,manual,rookie-enrichment,,,,BAL,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",8209f50c-3efd-49d0-bc23-2f6c552c9951,Dylan Devezin,RB,,2026,manual,rookie-enrichment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",488445d7-66eb-4fde-a001-a4bc75ed31fc,EJ Smith,RB,KC,2026,manual,rookie-enrichment,,,,KC,Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",5d7d80cd-deb5-464b-adc8-41429921a756,Eli Heidenreich,RB,PIT,2026,manual,rookie-enrichment,,,,PIT,Navy,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",d14803c1-99ce-45e5-a974-ad09e3a080ab,Elijah Tau-Tolliver,RB,BAL,2026,manual,rookie-enrichment,,,,BAL,Michigan State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",d40da0ee-fc10-44d4-9629-c4f786f501fe,Emmett Johnson,RB,KC,2026,manual,rookie-enrichment,,,,KC,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",bed48b7e-1249-450f-b4d6-8c3dbb7ee8d0,Gregory Desrosiers,RB,LAC,2026,manual,rookie-enrichment,,,,LAC,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",8fd30d2a-099a-4d96-abf7-98082cff3060,Hollywood Smothers,RB,,2026,manual,rookie-enrichment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",3ec3a1b5-dddf-467d-9db9-2ece294bb32d,Isaiah Jacobs,RB,,2026,manual,rookie-enrichment,,,,,UAB,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",8268c4c9-3d64-4574-abbf-fd702c2c515e,J'Mari Taylor,RB,JAX,2026,manual,rookie-enrichment,,,,JAX,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",ade2c033-f9d9-41cf-b277-acc3a7da7473,Jackson Acker,RB,BUF,2026,manual,rookie-enrichment,,,,BUF,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",1db25de0-f231-4d4d-b3fe-fa41ebf3fb92,Jadarian Price,RB,SEA,2026,manual,rookie-enrichment,,,,SEA,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",ee9d22a3-6159-4638-9af2-f1ce4c447ca9,Jaden Nixon,RB,GB,2026,manual,rookie-enrichment,,,,GB,UCF,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",ada98683-940b-40b9-8a35-470f63818a74,Jam Miller,RB,NE,2026,manual,rookie-enrichment,,,,NE,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",20d316ae-6f9f-4112-8c35-9bd834c59cd8,Jamal Haynes,RB,CIN,2026,manual,rookie-enrichment,,,,CIN,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",13545b3d-8b74-4e4f-8981-27cbb0929ad2,Jaydn Ott,RB,KC,2026,manual,rookie-enrichment,,,,KC,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",24621c8f-d6e8-4589-bcf7-12aaabaa54a0,Jeremiyah Love,RB,ARI,2026,manual,rookie-enrichment,,,,ARI,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",515b06d2-c8e6-432e-9f3f-cd0f5445f6f9,Jonah Coleman,RB,DEN,2026,manual,rookie-enrichment,,,,DEN,Washington,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",91c6022f-42bd-4ca6-a287-ef9120340781,Jordan Nubin,RB,,2026,manual,rookie-enrichment,,,,,Kent State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",d49e2626-3b2d-44d0-bdbf-84794901bcf6,Jordon Vaughn,RB,,2026,manual,rookie-enrichment,,,,,Abilene Christian,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",c30e3c8b-f378-445d-a0d3-831e392c3de7,Josh Pitsenburger,RB,,2026,manual,rookie-enrichment,,,,,Yale,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",67855965-b4d9-4cfa-b8c1-8d5c3ea2ff7b,Joshua Pitsenberger,RB,HOU,2026,manual,rookie-enrichment,,,,HOU,Yale,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",98d7938e-b564-4dd9-8025-66392d9c416c,Julius Davis,RB,,2026,manual,rookie-enrichment,,,,,Montana State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",796ef321-6931-4a42-b71e-0a1089afa8a2,Kadarius Calloway,RB,TB,2026,manual,rookie-enrichment,,,,TB,New Mexico State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",0817f822-ca83-499e-83b0-fef7449c5dc3,Kaelon Black,RB,SF,2026,manual,rookie-enrichment,,,,SF,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",35f3efec-e982-4022-881a-7390152e8b97,Kaytron Allen,RB,WAS,2026,manual,rookie-enrichment,,,,WAS,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",ebe2c4a7-089a-43c1-9ad8-cfe64c219fd6,Kejon Owens,RB,MIN,2026,manual,rookie-enrichment,,,,MIN,Florida International,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",181b4468-0cc7-421d-ba83-791fe20d4a5e,Kentrel Bullock,RB,CIN,2026,manual,rookie-enrichment,,,,CIN,South Alabama,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",0c55d223-944b-4612-8a15-395d09e22f89,Kevorian Barnes,RB,,2026,manual,rookie-enrichment,,,,,TCU,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",9c90d87e-fd35-470b-989a-1a6963f910d8,Le'Veon Moss,RB,,2026,manual,rookie-enrichment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",a004774b-03e1-4061-b8cd-690aaa7ea6d6,Lincoln Pare,RB,IND,2026,manual,rookie-enrichment,,,,IND,Texas State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",652f94bf-2e79-4261-b2b9-e4a7b23bcc36,Mark Fletcher,RB,,2026,manual,rookie-enrichment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",a338f785-accb-4264-8148-b3738f48d57c,Mike Washington,RB,LV,2026,manual,rookie-enrichment,,,,LV,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",884a29c4-5ee9-4e79-85fb-4847d0bf5eb0,Miles Davis,RB,CAR,2026,manual,rookie-enrichment,,,,CAR,Utah State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",fb05090b-fa0d-4083-884a-2cc9cc6baa0c,Myles Montgomery,RB,NE,2026,manual,rookie-enrichment,,,,NE,UCF,,,,,,,,,,,,,,,,,,,,,,,,,
